GBPNID,PlaceName,GridRef,Lat,Lng,HistCounty,Division,AdCounty,District,UniAuth,Police,Region,Alternative_Names,Type
7104,Burthwaite,NY4149,54.837463,-2.910493,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7151,Burton-in-Kendal,SD5376,54.182247,-2.721356,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
7211,Bushfield,NY4780,55.111552,-2.8323624,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7218,Busk,NY6042,54.773209,-2.608556,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
7261,Buttermere,NY1716,54.541413,-3.275832,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
7268,Butterwick,NY5119,54.570243,-2.758662,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
7511,Caldbeck,NY3239,54.749121,-3.054584,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
7525,Calder,NY0303,54.418205,-3.482343,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
7526,Calder Bridge,NY0406,54.44101,-3.476998,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
7604,Calthwaite,NY4640,54.755732,-2.828167,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
7622,Calvo,NY1453,54.872079,-3.33625,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
7669,Camerton,NY0330,54.663565,-3.494941,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
7723,Canal Foot,SD3177,54.189983,-3.056669,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
7871,Cardew,NY3449,54.834926,-3.025806,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7872,Cardewlees,NY3451,54.851187,-3.015782,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7887,Cardurnock,NY1758,54.917065,-3.290155,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
7905,Cargo,NY3659,54.923122,-2.989195,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7913,Cark,SD3676,54.180334,-2.975214,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
7924,Carleton,NY0109,54.470823,-3.515572,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
7925,Carleton,NY4252,54.867803,-2.891076,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7926,Carleton,NY5229,54.66109,-2.731674,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
7931,Carleton Hall,SD0898,54.369175,-3.4175871,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
7942,Carlisle,NY4055,54.892642,-2.933035,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
8054,Carr Bank,SD4778,54.202673,-2.810935,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8133,Cartmel,SD3778,54.202444,-2.952738,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8134,Cartmel Fell,SD4188,54.286314,-2.894716,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8139,Carwinley,NY4072,55.04622,-2.9351,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
8187,Casterton,SD6279,54.211217,-2.577664,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8204,Castle Carrock,NY5455,54.89174,-2.714957,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
8261,Castlerigg,NY2822,54.591706,-3.11208,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
8273,Castletown,NY5030,54.663565,-2.767377,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
8290,Cat Bank,SD3097,54.366253,-3.075042,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8327,Catholes,SD6590,54.304397,-2.5393681,Yorkshire,West Riding,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8333,Catlowdy,NY4676,55.084253,-2.846377,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
8362,Catterlen,NY4833,54.695357,-2.796014,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
8401,Causeway End,SD3484,54.24741,-3.0143744,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8402,Causeway End,SD4885,54.264384,-2.789116,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8415,Cautley,SD6895,54.352905,-2.483856,Yorkshire,West Riding,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8629,Chalkfoot,NY3348,54.822344,-3.0443011,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
8671,Chapel,NY2231,54.673996,-3.198691,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
8720,Chapel Stile,NY3105,54.441404,-3.053108,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
8731,Chapels,SD2383,54.24529,-3.170114,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
9060,Chestnut Hill,NY2823,54.603805,-3.113803,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
9309,Church Brough,NY7914,54.522239,-2.316682,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
9438,Churchtown,NY3641,54.759841,-2.9960699,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
9601,Clappersgate,NY3603,54.422828,-2.974797,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
9675,Clawthorpe,SD5377,54.193862,-2.711902,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
9747,Cleator,NY0113,54.50862,-3.518979,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
9748,Cleator Moor,NY0115,54.5218,-3.517227,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
9818,Cliburn,NY5825,54.620874,-2.641018,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
9850,Clifton,NY5326,54.632563,-2.7217452,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
10125,Cockermouth,NY1230,54.663739,-3.364566,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
10139,Cockley Beck,NY2401,54.404776,-3.1618383,Lancashire,,Cumbria,Copeland,,Cumbria,England,,Settlement
10250,Colby,NY6620,54.577782,-2.518865,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
10450,Colt Park,SD2770,54.120659,-3.1183776,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
10452,Colthouse,SD3598,54.374795,-2.990593,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
10456,Colton,SD3185,54.264484,-3.0504597,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
10541,Common End,NY0022,54.589419,-3.540556,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
10674,Coniston,SD3097,54.369338,-3.075831,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
10840,Corby Hill,NY4757,54.90544,-2.816888,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
10880,Corney,SD1191,54.311733,-3.36476,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
10981,Cotehill,NY4650,54.843416,-2.832297,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
10983,Cotes,SD4886,54.275328,-2.792396,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11063,Coulderton,NX9808,54.465725,-3.569851,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
11097,Coupland,NY7118,54.564517,-2.44692,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
11167,Cowen Head,SD4997,54.368403,-2.784182,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11175,Cowgill,SD7587,54.279416,-2.374715,Yorkshire,West Riding,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11263,Crackenthorpe,NY6622,54.593266,-2.525283,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
11540,Crewgarth,NY6034,54.699429,-2.6221816,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
11612,Croasdale,NY0917,54.544799,-3.403447,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
11657,Croftlands,SD2877,54.186382,-3.093572,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11660,Crofton,NY3050,54.839903,-3.0914681,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
11676,Croglin,NY5747,54.819198,-2.664496,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
11700,Crook,SD4695,54.348768,-2.8291148,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11703,Crookdake,NY1943,54.782185,-3.25398,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
11718,Crooklands,SD5383,54.246497,-2.717412,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11728,Crosby,NY0738,54.732517,-3.437263,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
11732,Crosby Garrett,NY7209,54.479555,-2.421007,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
11733,Crosby Ravensworth,NY6214,54.526318,-2.588408,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
11734,Crosby Villa,NY0939,54.738298,-3.4116554,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
11737,Crosby-on-Eden,NY4559,54.929228,-2.852327,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
11744,Croslands Park,SD2170,54.128538,-3.206152,Lancashire,,Cumbria,Barrow-in-Furness,,Cumbria,England,,Settlement
11829,Crosscanonby,NY0639,54.737596,-3.44698,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
11830,Crosscrake,SD5286,54.275958,-2.734034,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11840,Crossgates,NY0721,54.576954,-3.428379,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
11843,Crossgill,NY7440,54.754268,-2.4054958,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
11859,Crosslands,SD3489,54.296907,-3.00793,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
11892,Crosthwaite,SD4391,54.315985,-2.866121,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
12091,Culgaith,NY6129,54.66084,-2.6061,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
12131,Cumdivock,NY3448,54.829849,-3.020384,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12136,Cummersdale,NY3953,54.869485,-2.951356,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12144,Cumrew,NY5450,54.85089,-2.706602,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12145,Cumwhinton,NY4452,54.866037,-2.858769,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12146,Cumwhitton,NY5052,54.862082,-2.772497,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12175,Currock,NY4054,54.879071,-2.934343,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12424,Dacre,NY4526,54.630439,-2.839081,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
12475,Dale,NY5444,54.789738,-2.709113,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
12479,Dale Bottom,NY2921,54.586039,-3.09088,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
12538,Dalston,NY3650,54.841323,-2.9842331,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
12547,Dalton,SD5476,54.183963,-2.698707,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
12556,Dalton-In-Furness,SD2373,54.15579,-3.167894,Lancashire,,Cumbria,Barrow-in-Furness,,Cumbria,England,,Settlement
12751,Dean,NY0725,54.613501,-3.4350191,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
12792,Deanscales,NY0926,54.625934,-3.40562,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
12796,Dearham,NY0735,54.709938,-3.441944,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
12830,Deepthwaite,SD5183,54.243132,-2.738837,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
12892,Dendron,SD2470,54.125711,-3.155265,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
12941,Dent,SD7086,54.277319,-2.454143,Yorkshire,West Riding,Cumbria,South Lakeland,,Cumbria,England,,Settlement
